this is rank 0
0	1.000000	2.000000	3.000000
		21.000000	22.000000	23.000000	9.000000
1	1.000000	2.000000	3.000000
		21.000000	22.000000	23.000000	9.000000
2	1.000000	2.000000	3.000000
		21.000000	22.000000	23.000000	9.000000
3	1.000000	2.000000	3.000000
		21.000000	22.000000	23.000000	9.000000
4	1.000000	2.000000	3.000000
		21.000000	22.000000	23.000000	9.000000
5	1.000000	2.000000	3.000000
		21.000000	22.000000	23.000000	9.000000
6	1.000000	2.000000	3.000000
		21.000000	22.000000	23.000000	9.000000
7	1.000000	2.000000	3.000000
		21.000000	22.000000	23.000000	9.000000
8	1.000000	2.000000	3.000000
		21.000000	22.000000	23.000000	9.000000
9	1.000000	2.000000	3.000000
		21.000000	22.000000	23.000000	9.000000
0	0.000000	0.000000	0.000000
		0.000000	0.000000	0.000000	0.000000
1	1.000000	0.000000	0.000000
		0.000000	0.000000	0.000000	0.000000
2	2.000000	0.000000	0.000000
		0.000000	0.000000	0.000000	0.000000
3	3.000000	0.000000	0.000000
		0.000000	0.000000	0.000000	0.000000
4	4.000000	0.000000	0.000000
		0.000000	0.000000	0.000000	0.000000
5	5.000000	0.000000	0.000000
		0.000000	0.000000	0.000000	0.000000
6	6.000000	0.000000	0.000000
		0.000000	0.000000	0.000000	0.000000
7	7.000000	0.000000	0.000000
		0.000000	0.000000	0.000000	0.000000
8	8.000000	0.000000	0.000000
		0.000000	0.000000	0.000000	0.000000
9	9.000000	0.000000	0.000000
		0.000000	0.000000	0.000000	0.000000
buffer 1 should have moved
0	0.000000	0.000000	0.000000
		0.000000	0.000000	0.000000	0.000000
1	0.000000	0.000000	0.000000
		0.000000	0.000000	0.000000	0.000000
2	0.000000	0.000000	0.000000
		0.000000	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000
		0.000000	0.000000	0.000000	0.000000
4	0.000000	0.000000	0.000000
		0.000000	0.000000	0.000000	0.000000
5	0.000000	0.000000	0.000000
		0.000000	0.000000	0.000000	0.000000
6	0.000000	0.000000	0.000000
		0.000000	0.000000	0.000000	0.000000
7	0.000000	0.000000	0.000000
		0.000000	0.000000	0.000000	0.000000
8	0.000000	0.000000	0.000000
		0.000000	0.000000	0.000000	0.000000
9	0.000000	0.000000	0.000000
		0.000000	0.000000	0.000000	0.000000
